id,category,indicator,value,unit,reference_period,source_code,note
1,MICE,인천 MICE 행사 개최,6827,건,2024,IC-MICE-01,전년 대비 16.5% 증가
2,MICE,인천 MICE 참가자,3200000,명 약,2024,IC-MICE-01,로컬기프트 구매자 수로 환산 금지
3,MICE,경제적 파급효과,17000,억원 약,2024,IC-MICE-01,상품시장 규모로 환산 금지
4,MICE,취업유발효과,16000,명 약,2024,IC-MICE-01,공식 보도자료 수치
5,MICE,행사 개최,5858,건,2023,IC-MICE-01,2024 비교 기준
6,MICE,행사 개최,3404,건,2019,IC-MICE-01,코로나 이전 비교 기준
7,MICE,코리아 마이스 엑스포 참가자,3000,명 약,2024,IC-MICE-02,단일 행사 사례
8,MICE,코리아 마이스 엑스포 상담,4000,건 약,2024,IC-MICE-02,단일 행사 사례
9,지원,인천 관광스타트업 선정,15,개사 내외,2026,IC-SUP-01,전체 유형 합계
10,지원,인천 관광스타트업 최대 사업화자금,3800,만원,2026,IC-SUP-01,선정기업별 상한
11,지원,관광기업지원센터 신규 입주기업,6,개사,2026,IC-SUP-02,창업 7년 이하 관광·MICE 기업
12,정책,인천 관광거점,5,개,2030 목표체계,IC-POL-01,개항장은 문화관광벨트로 제시
